SK_ID_CURR,TARGET
100001,0.14
100005,0.14
100013,0.12
100028,0.02
100038,0.15
100042,0.06
100057,0.0
100065,0.07
100066,0.02
100067,0.22
100074,0.11
100090,0.05
100091,0.18
100092,0.09
100106,0.03
100107,0.37
100109,0.09
100117,0.01
100128,0.22
100141,0.18
100150,0.04
100168,0.09
100169,0.22
100170,0.19
100171,0.02
100172,0.07
100184,0.18
100187,0.07
100212,0.08
100222,0.07
100223,0.06
100232,0.02
100241,0.24
100245,0.05
100253,0.04
100256,0.13
100271,0.12
100278,0.23
100280,0.05
100306,0.14
100311,0.08
100312,0.02
100330,0.23
100331,0.07
100352,0.1
100358,0.12
100367,0.05
100382,0.18
100384,0.26
100385,0.05
100386,0.06
100399,0.04
100404,0.14
100416,0.02
100422,0.05
100426,0.04
100438,0.1
100444,0.12
100445,0.09
100446,0.13
100447,0.03
100450,0.12
100466,0.03
100483,0.01
100484,0.11
100494,0.05
100510,0.12
100512,0.07
100517,0.08
100548,0.02
100551,0.09
100552,0.04
100553,0.09
100561,0.29
100568,0.17
100569,0.03
100591,0.09
100592,0.05
100602,0.0
100607,0.05
100613,0.05
100617,0.06
100618,0.1
100622,0.15
100625,0.08
100677,0.13
100699,0.02
100702,0.26
100711,0.06
100729,0.18
100740,0.09
100744,0.06
100745,0.07
100747,0.15
100751,0.29
100752,0.05
100753,0.27
100754,0.28
100760,0.05
100762,0.06
100763,0.11
100765,0.04
100770,0.1
100772,0.06
100777,0.13
100791,0.05
100792,0.03
100797,0.04
100823,0.07
100826,0.03
100830,0.16
100836,0.08
100872,0.07
100910,0.17
100913,0.31
100918,0.11
100931,0.03
100952,0.03
100953,0.02
100965,0.33
100970,0.02
100982,0.12
100983,0.28
100984,0.26
100987,0.15
100997,0.05
100998,0.23
101002,0.09
101005,0.05
101008,0.17
101020,0.1
101021,0.08
101024,0.08
101025,0.2
101026,0.05
101031,0.02
101041,0.02
101051,0.01
101055,0.11
101056,0.21
101057,0.03
101064,0.08
101079,0.13
101087,0.08
101090,0.16
101092,0.1
101097,0.09
101099,0.06
101107,0.03
101118,0.08
101125,0.07
101126,0.05
101128,0.05
101136,0.14
101140,0.16
101149,0.02
101160,0.12
101169,0.34
101181,0.11
101186,0.04
101190,0.06
101193,0.15
101194,0.19
101198,0.2
101200,0.09
101204,0.01
101211,0.02
101213,0.06
101223,0.1
101225,0.19
101237,0.11
101243,0.04
101244,0.11
101258,0.06
101259,0.23
101268,0.34
101269,0.06
101271,0.0
101279,0.06
101281,0.28
101287,0.14
101292,0.11
101294,0.1
101296,0.18
101297,0.01
101299,0.18
101301,0.03
101305,0.07
101308,0.33
101318,0.0
101327,0.16
101329,0.07
101332,0.09
101337,0.02
101343,0.04
101345,0.09
101346,0.01
101353,0.02
101354,0.19
101355,0.11
101356,0.02
101362,0.13
101363,0.26
101365,0.14
101366,0.03
101367,0.2
101368,0.03
101374,0.16
101380,0.02
101383,0.08
101398,0.01
101399,0.31
101401,0.08
101412,0.17
101426,0.04
101427,0.29
101428,0.18
101429,0.04
101434,0.04
101440,0.25
101448,0.02
101449,0.07
101465,0.13
101467,0.02
101472,0.02
101478,0.27
101497,0.16
101504,0.16
101547,0.03
101548,0.09
101555,0.2
101570,0.07
101572,0.08
101578,0.01
101580,0.14
101588,0.06
101602,0.1
101610,0.14
101614,0.09
101616,0.09
101643,0.15
101644,0.12
101649,0.12
101650,0.05
101665,0.04
101667,0.1
101669,0.29
101674,0.06
101675,0.02
101678,0.16
101682,0.09
101686,0.08
101697,0.15
101700,0.34
101711,0.03
