SK_ID_CURR,TARGET
100001,0.07
100005,0.19
100013,0.07
100028,0.06
100038,0.12
100042,0.11
100057,0.04
100065,0.15
100066,0.03
100067,0.16
100074,0.07
100090,0.08
100091,0.16
100092,0.13
100106,0.06
100107,0.24
100109,0.12
100117,0.07
100128,0.17
100141,0.15
100150,0.03
100168,0.01
100169,0.1
100170,0.08
100171,0.06
100172,0.18
100184,0.1
100187,0.16
100212,0.13
100222,0.1
100223,0.06
100232,0.05
100241,0.18
100245,0.06
100253,0.1
100256,0.14
100271,0.08
100278,0.35
100280,0.07
100306,0.22
100311,0.23
100312,0.12
100330,0.17
100331,0.08
100352,0.08
100358,0.11
100367,0.1
100382,0.11
100384,0.1
100385,0.14
100386,0.07
100399,0.05
100404,0.1
100416,0.01
100422,0.26
100426,0.02
100438,0.07
100444,0.22
100445,0.15
100446,0.14
100447,0.06
100450,0.03
100466,0.07
100483,0.03
100484,0.04
100494,0.11
100510,0.14
100512,0.03
100517,0.02
100548,0.06
100551,0.05
100552,0.15
100553,0.06
100561,0.14
100568,0.37
100569,0.04
100591,0.14
100592,0.04
100602,0.12
100607,0.08
100613,0.12
100617,0.17
100618,0.14
100622,0.09
100625,0.21
100677,0.13
100699,0.06
100702,0.39
100711,0.06
100729,0.16
100740,0.15
100744,0.18
100745,0.08
100747,0.13
100751,0.28
100752,0.1
100753,0.15
100754,0.19
100760,0.14
100762,0.15
100763,0.15
100765,0.04
100770,0.15
100772,0.1
100777,0.01
100791,0.03
100792,0.07
100797,0.02
100823,0.06
100826,0.08
100830,0.05
100836,0.39
100872,0.09
100910,0.1
100913,0.17
100918,0.11
100931,0.04
100952,0.09
100953,0.11
100965,0.25
100970,0.02
100982,0.16
100983,0.27
100984,0.08
100987,0.12
100997,0.07
100998,0.17
101002,0.12
101005,0.19
101008,0.27
101020,0.04
101021,0.07
101024,0.21
101025,0.17
101026,0.11
101031,0.06
101041,0.02
101051,0.05
101055,0.15
101056,0.28
101057,0.11
101064,0.05
101079,0.15
101087,0.04
101090,0.06
101092,0.12
101097,0.1
101099,0.06
101107,0.18
101118,0.05
101125,0.03
101126,0.02
101128,0.08
101136,0.11
101140,0.2
101149,0.05
101160,0.06
101169,0.19
101181,0.11
