SK_ID_CURR,TARGET
100001,0.08
100005,0.19
100013,0.05
100028,0.06
100038,0.21
100042,0.17
100057,0.06
100065,0.18
100066,0.06
100067,0.21
100074,0.15
100090,0.03
100091,0.32
100092,0.21
100106,0.08
100107,0.18
100109,0.23
100117,0.13
100128,0.15
100141,0.03
100150,0.07
100168,0.01
100169,0.12
100170,0.05
100171,0.24
100172,0.26
100184,0.11
100187,0.04
100212,0.16
100222,0.19
100223,0.02
100232,0.08
100241,0.29
100245,0.06
100253,0.1
100256,0.11
100271,0.01
100278,0.3
100280,0.02
100306,0.14
100311,0.24
100312,0.23
100330,0.08
100331,0.05
100352,0.15
100358,0.05
100367,0.1
100382,0.25
100384,0.08
100385,0.23
100386,0.16
100399,0.12
100404,0.14
100416,0.09
100422,0.1
100426,0.16
100438,0.14
100444,0.1
100445,0.41
100446,0.24
100447,0.06
100450,0.07
100466,0.02
100483,0.11
100484,0.0
100494,0.25
100510,0.22
100512,0.03
100517,0.03
100548,0.19
100551,0.03
100552,0.29
100553,0.12
100561,0.32
100568,0.44
100569,0.06
100591,0.05
100592,0.01
100602,0.05
100607,0.14
100613,0.17
100617,0.31
100618,0.1
100622,0.13
100625,0.4
100677,0.19
100699,0.06
100702,0.62
100711,0.19
100729,0.17
100740,0.16
100744,0.12
100745,0.13
100747,0.04
100751,0.47
100752,0.05
100753,0.19
100754,0.43
100760,0.02
100762,0.13
100763,0.06
100765,0.04
100770,0.13
100772,0.01
100777,0.09
100791,0.04
100792,0.0
100797,0.04
100823,0.02
100826,0.06
100830,0.24
100836,0.14
100872,0.09
100910,0.01
100913,0.35
100918,0.11
100931,0.02
100952,0.04
100953,0.14
100965,0.25
100970,0.03
100982,0.08
100983,0.42
100984,0.05
100987,0.06
100997,0.09
100998,0.13
101002,0.11
101005,0.15
101008,0.22
101020,0.11
101021,0.05
101024,0.12
101025,0.12
101026,0.05
101031,0.03
101041,0.05
101051,0.07
101055,0.04
101056,0.26
101057,0.17
101064,0.12
101079,0.26
101087,0.1
101090,0.0
101092,0.1
101097,0.05
101099,0.04
101107,0.13
101118,0.09
101125,0.15
101126,0.06
101128,0.02
101136,0.3
101140,0.22
101149,0.1
101160,0.03
101169,0.23
101181,0.05
101186,0.1
101190,0.19
101193,0.05
101194,0.32
101198,0.15
101200,0.08
101204,0.1
101211,0.21
101213,0.11
101223,0.05
101225,0.06
101237,0.13
101243,0.09
101244,0.3
101258,0.13
