SK_ID_CURR,TARGET
100001,0.04
100005,0.1
100013,0.04
100028,0.02
100038,0.09
100042,0.05
100057,0.04
100065,0.07
100066,0.03
100067,0.16
100074,0.12
100090,0.04
100091,0.08
100092,0.1
100106,0.08
100107,0.23
100109,0.09
100117,0.15
100128,0.06
100141,0.11
100150,0.03
100168,0.03
100169,0.07
100170,0.06
100171,0.04
100172,0.15
100184,0.05
100187,0.04
100212,0.07
100222,0.04
100223,0.06
100232,0.02
100241,0.22
100245,0.05
100253,0.05
100256,0.11
100271,0.12
100278,0.22
100280,0.07
100306,0.17
100311,0.15
100312,0.07
100330,0.1
100331,0.09
100352,0.14
100358,0.11
100367,0.04
100382,0.12
100384,0.07
100385,0.15
100386,0.04
100399,0.04
100404,0.1
100416,0.03
100422,0.06
100426,0.03
100438,0.1
100444,0.16
100445,0.14
100446,0.13
100447,0.08
100450,0.04
100466,0.07
100483,0.03
100484,0.09
100494,0.06
100510,0.1
100512,0.07
100517,0.04
100548,0.05
100551,0.02
100552,0.09
100553,0.02
100561,0.05
100568,0.28
100569,0.01
100591,0.15
100592,0.01
100602,0.05
100607,0.07
100613,0.1
100617,0.19
100618,0.14
100622,0.19
100625,0.18
100677,0.13
100699,0.01
100702,0.23
100711,0.08
100729,0.08
100740,0.12
100744,0.13
100745,0.09
100747,0.12
100751,0.28
100752,0.1
100753,0.18
100754,0.14
100760,0.08
100762,0.05
100763,0.08
100765,0.05
100770,0.15
100772,0.05
100777,0.02
100791,0.0
100792,0.04
100797,0.06
100823,0.06
100826,0.07
100830,0.03
100836,0.29
100872,0.12
100910,0.05
100913,0.16
100918,0.1
100931,0.03
100952,0.01
100953,0.07
100965,0.19
100970,0.02
100982,0.13
100983,0.24
100984,0.09
100987,0.08
100997,0.06
100998,0.15
101002,0.12
101005,0.2
101008,0.15
101020,0.05
101021,0.09
101024,0.2
101025,0.18
101026,0.08
101031,0.01
101041,0.04
101051,0.03
101055,0.11
101056,0.31
101057,0.05
101064,0.05
101079,0.14
101087,0.06
101090,0.04
101092,0.15
101097,0.06
101099,0.0
101107,0.14
101118,0.01
101125,0.11
101126,0.03
101128,0.06
101136,0.21
101140,0.15
101149,0.1
101160,0.04
101169,0.21
101181,0.07
101186,0.06
101190,0.11
101193,0.09
101194,0.14
101198,0.12
101200,0.04
101204,0.04
101211,0.06
101213,0.14
101223,0.05
101225,0.09
101237,0.09
101243,0.06
101244,0.08
101258,0.05
101259,0.12
101268,0.19
101269,0.06
101271,0.11
101279,0.05
101281,0.09
101287,0.04
101292,0.08
101294,0.08
101296,0.01
101297,0.07
101299,0.08
101301,0.12
101305,0.06
101308,0.16
101318,0.02
101327,0.12
101329,0.04
101332,0.06
101337,0.03
101343,0.03
101345,0.04
101346,0.02
101353,0.02
101354,0.15
101355,0.14
101356,0.04
101362,0.09
101363,0.24
101365,0.03
101366,0.09
101367,0.2
101368,0.03
101374,0.12
101380,0.04
101383,0.03
101398,0.03
101399,0.23
101401,0.13
101412,0.08
101426,0.03
101427,0.35
101428,0.19
101429,0.12
101434,0.11
101440,0.12
101448,0.09
101449,0.08
101465,0.06
101467,0.07
101472,0.09
101478,0.15
101497,0.02
101504,0.15
101547,0.02
101548,0.18
101555,0.16
101570,0.01
101572,0.11
101578,0.07
101580,0.25
101588,0.09
101602,0.03
101610,0.21
101614,0.08
101616,0.07
101643,0.02
101644,0.04
