SK_ID_CURR,TARGET
100001,0.07
100005,0.1
100013,0.04
100028,0.09
100038,0.15
100042,0.05
100057,0.0
100065,0.04
100066,0.03
100067,0.16
100074,0.04
100090,0.07
100091,0.12
100092,0.16
100106,0.01
100107,0.33
100109,0.06
100117,0.05
100128,0.24
100141,0.09
100150,0.04
100168,0.02
100169,0.16
100170,0.2
100171,0.05
100172,0.04
100184,0.09
100187,0.06
100212,0.05
100222,0.03
100223,0.02
100232,0.04
100241,0.19
100245,0.05
100253,0.05
100256,0.06
100271,0.08
100278,0.19
100280,0.05
100306,0.11
100311,0.11
100312,0.09
100330,0.17
100331,0.03
100352,0.09
100358,0.13
100367,0.0
100382,0.14
100384,0.27
100385,0.03
100386,0.06
100399,0.07
100404,0.07
100416,0.05
100422,0.0
100426,0.02
100438,0.05
100444,0.08
100445,0.11
100446,0.13
100447,0.02
100450,0.08
100466,0.02
100483,0.01
100484,0.05
100494,0.02
100510,0.09
100512,0.13
100517,0.12
100548,0.01
100551,0.16
100552,0.08
100553,0.1
100561,0.41
100568,0.25
100569,0.04
100591,0.1
100592,0.03
100602,0.01
100607,0.07
100613,0.06
100617,0.18
100618,0.07
100622,0.16
100625,0.11
100677,0.24
100699,0.02
100702,0.23
100711,0.05
100729,0.09
100740,0.11
100744,0.08
100745,0.04
100747,0.09
100751,0.19
100752,0.08
100753,0.24
100754,0.29
100760,0.04
100762,0.09
100763,0.05
100765,0.04
100770,0.13
100772,0.06
100777,0.11
100791,0.04
100792,0.05
100797,0.02
100823,0.1
100826,0.01
100830,0.11
100836,0.1
100872,0.09
100910,0.21
100913,0.28
100918,0.12
100931,0.02
100952,0.06
100953,0.01
100965,0.28
100970,0.02
100982,0.13
100983,0.29
100984,0.14
100987,0.18
100997,0.08
100998,0.24
101002,0.11
101005,0.14
101008,0.21
101020,0.08
101021,0.03
101024,0.06
101025,0.13
101026,0.05
101031,0.02
101041,0.03
101051,0.01
101055,0.12
101056,0.21
101057,0.02
101064,0.06
101079,0.13
101087,0.05
101090,0.2
101092,0.04
101097,0.11
101099,0.02
101107,0.02
101118,0.04
101125,0.12
101126,0.0
101128,0.05
101136,0.15
101140,0.17
101149,0.02
101160,0.08
101169,0.15
101181,0.12
101186,0.13
101190,0.04
101193,0.14
101194,0.17
101198,0.17
101200,0.15
101204,0.0
101211,0.04
101213,0.08
101223,0.04
101225,0.13
101237,0.19
101243,0.08
101244,0.17
101258,0.03
101259,0.21
101268,0.27
101269,0.13
101271,0.05
101279,0.01
101281,0.32
101287,0.12
101292,0.06
101294,0.09
101296,0.05
101297,0.03
101299,0.16
101301,0.05
101305,0.11
101308,0.24
101318,0.02
101327,0.12
101329,0.05
101332,0.02
101337,0.0
101343,0.04
101345,0.02
101346,0.0
101353,0.01
101354,0.23
101355,0.19
101356,0.01
101362,0.06
101363,0.16
101365,0.08
101366,0.03
101367,0.2
101368,0.05
101374,0.17
101380,0.02
101383,0.08
101398,0.04
101399,0.22
101401,0.09
101412,0.22
101426,0.02
101427,0.4
101428,0.17
101429,0.04
101434,0.03
101440,0.25
101448,0.04
101449,0.07
101465,0.08
101467,0.03
101472,0.06
101478,0.17
101497,0.1
101504,0.05
101547,0.03
101548,0.05
101555,0.14
101570,0.02
101572,0.06
101578,0.06
101580,0.12
101588,0.07
101602,0.06
101610,0.23
101614,0.03
101616,0.1
101643,0.12
101644,0.04
101649,0.11
101650,0.08
101665,0.04
101667,0.1
101669,0.28
101674,0.08
101675,0.01
101678,0.08
101682,0.09
101686,0.04
101697,0.14
101700,0.28
101711,0.02
101714,0.1
101715,0.29
101728,0.01
101732,0.02
101757,0.15
101758,0.1
101759,0.03
101762,0.08
101764,0.22
101780,0.24
101784,0.04
101789,0.02
101816,0.01
101819,0.2
101827,0.02
101863,0.05
101867,0.02
101870,0.02
101873,0.08
101878,0.06
101879,0.25
101880,0.08
101887,0.06
101897,0.01
101901,0.12
101903,0.32
101920,0.08
101921,0.03
101922,0.11
101961,0.14
101962,0.06
101971,0.13
101976,0.17
102002,0.15
102005,0.0
102007,0.18
102017,0.05
102019,0.24
102029,0.01
102051,0.12
102052,0.03
102054,0.08
102062,0.09
102067,0.09
102068,0.25
102070,0.01
102090,0.11
102092,0.04
102099,0.07
102100,0.13
102112,0.04
102113,0.02
102122,0.13
102123,0.11
102125,0.07
102126,0.29
102146,0.05
102147,0.06
102151,0.08
102158,0.11
102159,0.04
102162,0.07
102165,0.06
102166,0.01
102174,0.06
102193,0.19
102198,0.05
102205,0.12
102206,0.04
102218,0.02
102221,0.0
102230,0.07
102238,0.17
102248,0.07
102252,0.19
102259,0.04
102262,0.22
102273,0.12
102286,0.1
102293,0.04
102294,0.1
102296,0.16
102298,0.09
102303,0.01
102309,0.07
102315,0.17
102340,0.07
102342,0.15
102344,0.0
102346,0.15
102347,0.06
102374,0.17
102380,0.01
102387,0.03
102393,0.05
102403,0.05
102413,0.01
102414,0.05
102415,0.1
102416,0.17
102439,0.05
102441,0.04
102443,0.04
102444,0.2
102445,0.07
102448,0.08
102449,0.15
102450,0.17
102456,0.04
102458,0.07
102459,0.1
102465,0.25
102470,0.35
102471,0.02
102475,0.08
102476,0.16
102506,0.06
102509,0.04
102519,0.01
102522,0.13
102545,0.14
102549,0.09
102562,0.03
102563,0.01
102568,0.08
102582,0.03
102592,0.05
102597,0.16
102605,0.07
102614,0.07
102617,0.2
102634,0.1
102652,0.1
102655,0.06
102671,0.04
102694,0.2
102701,0.06
102703,0.0
102704,0.02
102713,0.06
102720,0.15
102731,0.02
102733,0.04
102749,0.02
102755,0.13
102763,0.08
102770,0.09
102772,0.15
102799,0.1
102838,0.01
102854,0.02
102862,0.26
102863,0.04
102867,0.03
102868,0.01
102878,0.04
102887,0.05
102898,0.35
102904,0.09
102912,0.07
102919,0.01
102927,0.13
102932,0.04
102933,0.02
102935,0.02
102958,0.0
102969,0.24
102971,0.01
102975,0.19
102979,0.04
102982,0.01
102987,0.3
102989,0.13
102995,0.08
102996,0.1
103000,0.05
103001,0.28
103004,0.03
103010,0.03
103025,0.28
103029,0.09
103046,0.02
103056,0.08
103062,0.05
103078,0.04
103083,0.04
103092,0.13
103096,0.02
103097,0.16
103102,0.2
103112,0.27
103132,0.03
103144,0.12
103145,0.17
103146,0.04
103147,0.14
103158,0.13
103171,0.13
103173,0.1
103184,0.03
103195,0.18
103196,0.06
103206,0.03
103230,0.26
103231,0.17
103232,0.03
103239,0.07
103240,0.07
103243,0.06
103252,0.12
103258,0.04
103259,0.16
103279,0.05
103280,0.0
103286,0.13
103287,0.29
103290,0.0
103298,0.03
103315,0.07
103319,0.01
103334,0.15
103336,0.04
103345,0.12
103368,0.01
103371,0.22
103377,0.04
103398,0.02
103404,0.09
103408,0.26
103410,0.01
103418,0.06
103420,0.25
103432,0.05
103433,0.02
103436,0.04
103440,0.05
103453,0.02
103459,0.08
103460,0.05
103461,0.03
103462,0.04
103473,0.34
103474,0.09
103475,0.21
103478,0.06
103480,0.1
103484,0.03
103494,0.21
103513,0.11
103515,0.07
103516,0.15
103525,0.1
103541,0.24
103544,0.02
103562,0.31
103570,0.15
103572,0.07
103574,0.02
103575,0.07
103591,0.08
103594,0.03
103609,0.09
103613,0.12
103614,0.14
103615,0.15
103624,0.09
103625,0.21
103628,0.16
103629,0.02
103647,0.08
103648,0.03
103651,0.03
103658,0.12
103668,0.11
103669,0.01
103676,0.07
103682,0.03
103683,0.3
103689,0.03
103725,0.14
103733,0.17
103744,0.15
103762,0.14
103771,0.21
103773,0.0
103783,0.04
103784,0.12
103808,0.07
103812,0.02
103813,0.08
103814,0.0
103818,0.1
103824,0.01
103828,0.01
103830,0.15
103840,0.0
103842,0.09
103847,0.14
103848,0.13
103851,0.07
103854,0.25
103857,0.11
103861,0.04
103862,0.14
103865,0.04
103870,0.04
103876,0.0
103891,0.3
103908,0.0
103914,0.12
103918,0.1
103940,0.04
103963,0.12
103966,0.13
103971,0.05
103980,0.05
103984,0.1
103985,0.04
103998,0.25
104019,0.02
104026,0.04
104035,0.04
104044,0.06
104045,0.16
104047,0.23
104051,0.11
104058,0.02
104063,0.02
104066,0.17
104087,0.05
104089,0.02
104095,0.11
104098,0.03
104104,0.02
104110,0.28
104120,0.1
104122,0.13
104131,0.03
104132,0.2
104135,0.03
104136,0.06
104149,0.02
104150,0.12
104156,0.23
104165,0.06
104175,0.05
104179,0.07
104184,0.3
104206,0.04
104216,0.25
104230,0.05
104257,0.01
104272,0.09
104273,0.09
104278,0.02
104294,0.13
104295,0.05
104297,0.08
104298,0.23
104308,0.03
104318,0.04
104319,0.1
104320,0.09
104327,0.14
104334,0.14
104344,0.07
104350,0.07
104351,0.09
104354,0.2
104369,0.22
104376,0.05
104381,0.07
104384,0.09
104391,0.04
104394,0.03
104398,0.12
104402,0.02
104408,0.05
104409,0.03
104410,0.34
104412,0.09
104417,0.21
104424,0.12
104426,0.02
104435,0.1
104445,0.03
104458,0.03
104460,0.07
104466,0.03
104472,0.24
104473,0.08
104479,0.0
104480,0.03
104482,0.07
104499,0.06
104501,0.03
104502,0.02
104506,0.05
104510,0.02
104512,0.24
104520,0.15
104528,0.05
104529,0.02
104541,0.13
104578,0.01
104584,0.15
104588,0.18
104602,0.16
104610,0.04
104611,0.18
104618,0.11
104620,0.05
104622,0.02
104624,0.09
104625,0.13
104634,0.18
104639,0.07
104646,0.03
104647,0.1
104652,0.07
104670,0.1
104677,0.02
104685,0.2
104691,0.04
104696,0.04
104699,0.02
104712,0.08
104714,0.03
104717,0.04
104718,0.04
104740,0.07
104741,0.01
104743,0.05
104744,0.1
104747,0.28
104767,0.03
104772,0.1
104776,0.19
104779,0.09
104814,0.0
104815,0.11
104830,0.02
104831,0.26
104833,0.06
104839,0.08
104840,0.04
104860,0.06
104861,0.07
104866,0.12
104870,0.07
104877,0.06
104878,0.06
104879,0.06
104880,0.06
104899,0.04
104906,0.09
104907,0.08
104913,0.15
104916,0.16
104921,0.03
104930,0.02
104931,0.21
104936,0.03
104937,0.07
104942,0.02
104943,0.08
104969,0.06
104972,0.31
104988,0.04
105013,0.02
105015,0.09
105019,0.29
105027,0.04
105030,0.01
105035,0.27
105041,0.07
105051,0.24
105056,0.06
105067,0.18
105071,0.04
105072,0.0
105074,0.05
105091,0.09
105101,0.03
105103,0.03
105134,0.04
105139,0.0
105142,0.32
105146,0.07
105163,0.15
105168,0.07
105172,0.06
105176,0.34
105195,0.12
105196,0.22
105197,0.05
105203,0.06
105223,0.08
105227,0.37
105228,0.02
105230,0.15
105231,0.17
105239,0.03
105242,0.1
105244,0.09
105245,0.02
105248,0.09
105249,0.04
105266,0.12
105271,0.15
105276,0.02
105282,0.09
105292,0.12
105297,0.03
105332,0.03
105333,0.17
105343,0.14
105344,0.13
105345,0.1
105357,0.1
105359,0.11
105366,0.13
105367,0.1
105370,0.06
105377,0.12
105390,0.01
105399,0.04
105403,0.15
105404,0.02
105414,0.03
105417,0.1
105425,0.16
105452,0.23
105454,0.24
105456,0.06
105470,0.02
105471,0.06
105483,0.19
105493,0.26
105508,0.02
105514,0.09
105515,0.02
105528,0.13
105529,0.03
105531,0.02
105532,0.06
105558,0.02
105574,0.0
105578,0.01
105584,0.29
105595,0.13
105617,0.48
105618,0.06
105621,0.07
105625,0.03
105629,0.1
105630,0.05
105634,0.06
105635,0.0
105641,0.15
105647,0.4
105648,0.1
105655,0.07
105657,0.02
105672,0.02
105678,0.15
105682,0.14
105691,0.03
105692,0.07
105706,0.03
105712,0.1
105720,0.07
105734,0.05
105735,0.04
105736,0.11
105737,0.02
105738,0.04
105740,0.24
105744,0.1
105747,0.02
105749,0.16
105754,0.02
105758,0.07
105760,0.08
105767,0.27
105784,0.09
105791,0.06
105802,0.18
105807,0.14
105809,0.21
105816,0.13
105817,0.05
105824,0.01
105832,0.04
105856,0.1
105865,0.07
105899,0.18
105906,0.08
105916,0.04
105923,0.12
105937,0.07
105965,0.15
105966,0.06
105968,0.09
105973,0.08
105976,0.1
105978,0.12
105979,0.04
105991,0.1
105998,0.18
105999,0.0
106000,0.21
106001,0.02
106010,0.39
106011,0.07
106013,0.05
106015,0.04
106026,0.03
106032,0.01
106035,0.17
106040,0.07
106041,0.2
106044,0.04
106053,0.22
106054,0.02
106065,0.03
106081,0.11
106083,0.05
106087,0.01
106090,0.11
106101,0.11
106102,0.27
106109,0.11
106116,0.13
106150,0.03
106155,0.09
106166,0.09
106176,0.04
106189,0.04
106199,0.05
106205,0.16
106206,0.2
106211,0.09
106214,0.12
106216,0.08
106217,0.05
106225,0.13
106249,0.04
106256,0.16
106258,0.14
106261,0.13
106262,0.22
106264,0.06
106271,0.0
106276,0.01
106277,0.11
106286,0.06
106293,0.07
106295,0.05
106296,0.06
106297,0.04
106298,0.01
106311,0.12
106314,0.03
106320,0.05
106334,0.05
106346,0.05
106347,0.07
106349,0.06
106354,0.08
106360,0.05
106373,0.08
106377,0.1
106386,0.12
106387,0.04
106391,0.06
106401,0.25
106411,0.09
106413,0.32
106426,0.25
106427,0.21
106428,0.17
106434,0.04
106438,0.05
106440,0.02
106441,0.09
106452,0.18
106453,0.12
106454,0.06
106457,0.01
106484,0.02
106488,0.06
106491,0.25
106514,0.23
106527,0.08
106528,0.08
106529,0.07
106534,0.27
106550,0.31
106577,0.06
106585,0.1
106590,0.01
106607,0.02
106610,0.17
106611,0.05
106612,0.11
106624,0.02
106631,0.0
106647,0.17
106660,0.13
106674,0.04
106687,0.04
106712,0.03
106713,0.05
106717,0.09
106720,0.17
106721,0.24
106724,0.1
106735,0.08
106739,0.1
106740,0.02
106754,0.17
106760,0.15
106761,0.08
106784,0.11
106787,0.02
106797,0.01
106798,0.12
106802,0.02
106803,0.12
106804,0.23
106805,0.05
106810,0.06
106812,0.17
106813,0.11
106817,0.09
106822,0.15
106823,0.05
106827,0.03
106841,0.11
106851,0.19
106852,0.26
106853,0.16
106854,0.28
106861,0.0
106873,0.04
