SK_ID_CURR,TARGET
100001,0.03
100005,0.07
100013,0.05
100028,0.04
100038,0.11
100042,0.11
100057,0.01
100065,0.06
100066,0.02
100067,0.12
100074,0.1
100090,0.06
100091,0.17
100092,0.19
100106,0.14
100107,0.16
100109,0.12
100117,0.04
100128,0.1
100141,0.02
100150,0.0
100168,0.01
100169,0.15
100170,0.02
100171,0.06
100172,0.13
100184,0.03
100187,0.04
100212,0.16
100222,0.06
100223,0.05
100232,0.0
100241,0.13
100245,0.01
100253,0.05
100256,0.12
100271,0.03
100278,0.2
100280,0.01
100306,0.18
100311,0.2
100312,0.04
100330,0.13
100331,0.02
100352,0.11
100358,0.08
100367,0.01
100382,0.26
100384,0.06
100385,0.07
100386,0.06
100399,0.03
100404,0.07
100416,0.05
100422,0.1
100426,0.04
100438,0.1
100444,0.14
100445,0.07
100446,0.14
100447,0.02
100450,0.06
100466,0.0
100483,0.03
100484,0.03
100494,0.09
100510,0.09
100512,0.02
100517,0.01
100548,0.08
100551,0.05
100552,0.21
100553,0.04
100561,0.17
100568,0.32
100569,0.03
100591,0.08
100592,0.03
100602,0.04
100607,0.07
100613,0.02
100617,0.12
100618,0.07
100622,0.1
100625,0.15
100677,0.23
100699,0.04
100702,0.47
100711,0.1
100729,0.18
100740,0.15
100744,0.09
100745,0.05
100747,0.12
100751,0.39
100752,0.08
100753,0.26
100754,0.16
100760,0.04
100762,0.11
100763,0.17
100765,0.03
100770,0.11
100772,0.04
100777,0.05
100791,0.02
100792,0.03
100797,0.06
100823,0.1
100826,0.03
100830,0.06
100836,0.25
100872,0.14
100910,0.05
100913,0.35
100918,0.13
100931,0.04
100952,0.06
100953,0.07
100965,0.28
100970,0.0
100982,0.11
100983,0.29
100984,0.06
100987,0.05
100997,0.06
100998,0.23
101002,0.03
101005,0.24
101008,0.18
101020,0.04
101021,0.02
101024,0.18
101025,0.18
101026,0.08
101031,0.0
101041,0.01
101051,0.03
101055,0.15
101056,0.19
101057,0.02
101064,0.1
101079,0.11
101087,0.08
101090,0.03
101092,0.14
101097,0.14
101099,0.01
101107,0.06
101118,0.05
101125,0.11
101126,0.01
101128,0.0
101136,0.23
101140,0.22
101149,0.12
101160,0.06
101169,0.29
101181,0.05
101186,0.01
101190,0.11
101193,0.08
101194,0.29
101198,0.12
101200,0.07
101204,0.02
101211,0.04
101213,0.15
101223,0.02
101225,0.02
101237,0.07
101243,0.05
101244,0.13
101258,0.06
101259,0.25
101268,0.12
101269,0.01
101271,0.06
101279,0.09
101281,0.2
101287,0.0
101292,0.04
101294,0.04
101296,0.05
101297,0.03
101299,0.17
101301,0.08
101305,0.24
101308,0.31
101318,0.01
101327,0.23
101329,0.03
101332,0.04
101337,0.05
101343,0.05
101345,0.01
101346,0.05
101353,0.03
101354,0.17
101355,0.29
101356,0.02
101362,0.07
101363,0.25
101365,0.02
101366,0.03
101367,0.17
101368,0.03
101374,0.18
101380,0.04
101383,0.02
101398,0.0
101399,0.38
101401,0.1
101412,0.1
101426,0.03
101427,0.32
101428,0.23
101429,0.15
101434,0.03
101440,0.07
101448,0.01
101449,0.06
101465,0.05
101467,0.06
101472,0.15
101478,0.21
101497,0.13
101504,0.28
101547,0.01
101548,0.1
101555,0.19
101570,0.02
101572,0.12
101578,0.07
101580,0.35
101588,0.2
101602,0.04
101610,0.12
101614,0.03
101616,0.04
101643,0.05
101644,0.05
101649,0.22
101650,0.07
101665,0.0
101667,0.07
101669,0.02
101674,0.07
101675,0.05
101678,0.12
101682,0.11
101686,0.03
101697,0.06
101700,0.41
101711,0.04
101714,0.05
101715,0.15
101728,0.09
101732,0.05
101757,0.25
101758,0.05
101759,0.01
101762,0.01
101764,0.05
101780,0.29
101784,0.03
101789,0.02
101816,0.01
101819,0.06
101827,0.0
101863,0.13
101867,0.05
101870,0.01
101873,0.16
101878,0.2
101879,0.1
101880,0.02
101887,0.03
101897,0.06
101901,0.09
101903,0.23
101920,0.1
101921,0.05
101922,0.11
101961,0.1
101962,0.05
101971,0.08
101976,0.25
102002,0.07
102005,0.04
102007,0.34
102017,0.0
102019,0.21
102029,0.03
102051,0.3
102052,0.01
102054,0.01
102062,0.06
102067,0.12
102068,0.18
102070,0.05
102090,0.17
102092,0.06
102099,0.05
102100,0.09
102112,0.08
102113,0.03
102122,0.23
102123,0.05
102125,0.08
102126,0.3
102146,0.06
102147,0.08
102151,0.05
102158,0.14
102159,0.05
102162,0.1
102165,0.04
102166,0.02
102174,0.06
102193,0.15
102198,0.02
102205,0.21
102206,0.04
102218,0.01
102221,0.04
102230,0.06
102238,0.06
102248,0.06
102252,0.32
102259,0.08
102262,0.22
102273,0.06
102286,0.08
102293,0.0
102294,0.05
102296,0.07
102298,0.16
102303,0.03
102309,0.02
102315,0.05
102340,0.04
102342,0.13
102344,0.04
102346,0.05
102347,0.05
102374,0.18
102380,0.03
102387,0.04
102393,0.05
102403,0.04
102413,0.09
102414,0.01
102415,0.08
102416,0.1
102439,0.01
102441,0.17
102443,0.03
102444,0.24
102445,0.08
102448,0.07
102449,0.15
102450,0.22
102456,0.02
102458,0.11
102459,0.09
102465,0.05
102470,0.2
102471,0.03
102475,0.09
102476,0.17
102506,0.13
102509,0.09
102519,0.07
102522,0.05
102545,0.03
102549,0.03
102562,0.06
102563,0.01
102568,0.1
102582,0.08
102592,0.05
102597,0.12
102605,0.08
102614,0.04
102617,0.05
102634,0.12
102652,0.0
102655,0.03
102671,0.03
102694,0.19
102701,0.05
102703,0.0
102704,0.01
102713,0.09
102720,0.24
102731,0.04
102733,0.03
102749,0.0
102755,0.0
102763,0.05
102770,0.05
102772,0.1
102799,0.17
102838,0.03
102854,0.02
102862,0.11
102863,0.05
102867,0.04
102868,0.03
102878,0.06
102887,0.03
102898,0.19
102904,0.1
102912,0.1
102919,0.0
102927,0.07
102932,0.07
102933,0.16
102935,0.02
102958,0.03
102969,0.09
102971,0.04
102975,0.04
102979,0.15
102982,0.05
102987,0.18
102989,0.08
102995,0.1
102996,0.16
103000,0.03
103001,0.16
103004,0.05
103010,0.0
103025,0.16
103029,0.1
103046,0.05
103056,0.05
103062,0.18
103078,0.0
103083,0.0
103092,0.05
103096,0.05
103097,0.23
103102,0.08
103112,0.15
103132,0.02
103144,0.14
103145,0.08
103146,0.03
103147,0.08
103158,0.02
103171,0.12
103173,0.08
103184,0.04
103195,0.24
103196,0.14
103206,0.02
103230,0.11
103231,0.16
103232,0.02
103239,0.2
103240,0.12
103243,0.09
103252,0.13
103258,0.1
103259,0.15
103279,0.03
103280,0.03
103286,0.0
103287,0.57
103290,0.03
103298,0.05
103315,0.02
103319,0.06
103334,0.04
103336,0.13
103345,0.03
103368,0.01
103371,0.16
103377,0.07
103398,0.0
103404,0.06
103408,0.41
103410,0.11
103418,0.05
103420,0.22
103432,0.06
103433,0.01
103436,0.01
103440,0.05
103453,0.06
103459,0.09
103460,0.04
103461,0.05
103462,0.08
103473,0.12
103474,0.02
103475,0.22
103478,0.22
103480,0.17
103484,0.06
103494,0.15
103513,0.07
103515,0.03
103516,0.26
103525,0.14
103541,0.18
103544,0.04
103562,0.24
103570,0.3
103572,0.2
103574,0.01
103575,0.06
103591,0.06
103594,0.02
103609,0.05
103613,0.05
103614,0.15
103615,0.07
103624,0.11
103625,0.12
103628,0.26
103629,0.06
103647,0.14
103648,0.13
103651,0.07
103658,0.05
103668,0.11
103669,0.03
103676,0.07
103682,0.08
103683,0.05
103689,0.04
103725,0.11
103733,0.19
103744,0.02
103762,0.06
103771,0.27
103773,0.01
103783,0.07
103784,0.06
103808,0.02
103812,0.05
103813,0.15
103814,0.06
103818,0.16
103824,0.03
103828,0.0
103830,0.53
103840,0.0
103842,0.15
103847,0.17
103848,0.11
103851,0.02
103854,0.15
103857,0.17
103861,0.01
103862,0.2
103865,0.14
103870,0.01
103876,0.02
103891,0.34
103908,0.03
103914,0.08
103918,0.05
103940,0.04
103963,0.12
103966,0.15
103971,0.11
103980,0.12
103984,0.15
103985,0.01
103998,0.32
104019,0.01
104026,0.06
104035,0.09
104044,0.14
104045,0.09
104047,0.31
104051,0.01
104058,0.11
104063,0.01
104066,0.22
104087,0.03
104089,0.05
104095,0.06
104098,0.28
104104,0.06
104110,0.3
104120,0.2
104122,0.03
104131,0.02
104132,0.1
104135,0.04
104136,0.03
104149,0.04
104150,0.05
104156,0.28
104165,0.16
104175,0.03
104179,0.06
104184,0.29
104206,0.03
104216,0.34
104230,0.14
104257,0.05
104272,0.13
104273,0.12
104278,0.0
104294,0.16
104295,0.04
104297,0.04
104298,0.07
104308,0.03
104318,0.01
104319,0.07
104320,0.11
104327,0.09
104334,0.1
104344,0.01
104350,0.0
104351,0.12
104354,0.06
104369,0.29
104376,0.09
104381,0.03
104384,0.07
104391,0.01
104394,0.04
104398,0.29
104402,0.02
104408,0.16
104409,0.05
104410,0.29
104412,0.08
104417,0.2
104424,0.13
104426,0.07
104435,0.07
104445,0.01
104458,0.04
104460,0.02
104466,0.03
104472,0.06
104473,0.15
104479,0.02
104480,0.04
104482,0.21
104499,0.02
104501,0.0
104502,0.03
104506,0.1
104510,0.0
104512,0.21
104520,0.12
104528,0.12
104529,0.01
104541,0.03
104578,0.04
104584,0.1
104588,0.11
104602,0.14
104610,0.03
104611,0.15
104618,0.12
104620,0.03
104622,0.05
104624,0.05
104625,0.08
104634,0.05
104639,0.1
104646,0.04
104647,0.02
104652,0.07
104670,0.06
104677,0.04
104685,0.23
104691,0.06
104696,0.1
104699,0.04
104712,0.06
104714,0.1
104717,0.03
104718,0.01
104740,0.06
104741,0.05
104743,0.01
104744,0.04
104747,0.16
104767,0.09
104772,0.25
104776,0.13
104779,0.01
104814,0.06
104815,0.06
104830,0.11
104831,0.21
104833,0.11
104839,0.04
104840,0.04
104860,0.08
104861,0.08
104866,0.06
104870,0.04
104877,0.08
104878,0.05
104879,0.12
104880,0.04
104899,0.01
104906,0.18
104907,0.1
104913,0.27
104916,0.11
104921,0.05
104930,0.04
104931,0.19
104936,0.0
104937,0.05
104942,0.07
104943,0.01
104969,0.11
104972,0.24
104988,0.09
105013,0.02
105015,0.01
105019,0.11
105027,0.04
105030,0.04
105035,0.16
105041,0.13
105051,0.09
105056,0.1
105067,0.43
105071,0.03
105072,0.03
105074,0.14
105091,0.08
105101,0.02
105103,0.02
105134,0.02
105139,0.04
105142,0.23
105146,0.16
105163,0.02
105168,0.15
105172,0.03
105176,0.39
105195,0.05
105196,0.17
105197,0.06
105203,0.05
105223,0.14
105227,0.19
105228,0.02
105230,0.24
105231,0.14
105239,0.09
105242,0.14
105244,0.05
105245,0.06
105248,0.1
105249,0.01
105266,0.21
105271,0.17
105276,0.01
105282,0.03
105292,0.17
105297,0.02
105332,0.13
105333,0.1
105343,0.06
105344,0.06
105345,0.09
105357,0.03
105359,0.08
105366,0.06
105367,0.16
105370,0.03
105377,0.11
105390,0.13
105399,0.02
105403,0.03
105404,0.04
105414,0.03
105417,0.03
105425,0.16
105452,0.21
105454,0.26
105456,0.02
105470,0.06
105471,0.03
105483,0.23
105493,0.14
105508,0.09
105514,0.07
105515,0.01
105528,0.24
105529,0.08
105531,0.06
105532,0.1
105558,0.02
105574,0.02
105578,0.04
105584,0.26
105595,0.08
105617,0.11
105618,0.08
105621,0.03
105625,0.06
105629,0.07
105630,0.06
105634,0.02
105635,0.03
105641,0.04
105647,0.13
105648,0.08
105655,0.09
105657,0.01
105672,0.03
105678,0.22
105682,0.08
105691,0.02
105692,0.05
105706,0.06
105712,0.05
105720,0.06
105734,0.02
105735,0.06
105736,0.19
105737,0.06
105738,0.17
105740,0.2
105744,0.09
105747,0.06
105749,0.19
105754,0.06
105758,0.05
105760,0.11
105767,0.14
105784,0.14
105791,0.04
105802,0.22
105807,0.19
105809,0.13
105816,0.07
105817,0.03
105824,0.1
105832,0.05
105856,0.02
105865,0.14
105899,0.16
105906,0.06
105916,0.08
105923,0.12
105937,0.08
105965,0.0
105966,0.14
105968,0.28
105973,0.02
105976,0.19
105978,0.11
105979,0.01
105991,0.23
105998,0.12
105999,0.04
106000,0.28
106001,0.05
106010,0.12
106011,0.1
106013,0.17
106015,0.13
106026,0.01
106032,0.02
106035,0.3
106040,0.08
106041,0.19
106044,0.03
106053,0.19
106054,0.04
106065,0.29
106081,0.1
106083,0.11
106087,0.0
106090,0.14
106101,0.07
106102,0.02
106109,0.05
106116,0.13
106150,0.03
106155,0.21
106166,0.05
