SK_ID_CURR,TARGET
100001,0.11
100005,0.06
100013,0.03
100028,0.12
100038,0.16
100042,0.03
100057,0.0
100065,0.04
100066,0.02
100067,0.24
100074,0.02
100090,0.08
100091,0.16
100092,0.11
100106,0.02
100107,0.32
100109,0.08
100117,0.02
100128,0.21
100141,0.04
100150,0.02
100168,0.02
100169,0.17
100170,0.13
100171,0.06
100172,0.12
100184,0.12
100187,0.06
100212,0.06
100222,0.03
100223,0.02
100232,0.01
100241,0.18
100245,0.11
100253,0.06
100256,0.1
100271,0.1
100278,0.17
100280,0.01
100306,0.14
100311,0.1
100312,0.05
100330,0.17
100331,0.04
100352,0.05
100358,0.18
100367,0.03
100382,0.15
100384,0.22
100385,0.09
100386,0.05
100399,0.05
100404,0.09
100416,0.09
100422,0.04
100426,0.03
100438,0.03
100444,0.19
100445,0.09
100446,0.19
100447,0.04
100450,0.1
100466,0.04
100483,0.01
100484,0.11
100494,0.03
100510,0.14
100512,0.08
100517,0.08
100548,0.09
100551,0.06
100552,0.08
100553,0.06
100561,0.32
100568,0.32
100569,0.0
100591,0.07
100592,0.02
100602,0.02
100607,0.03
100613,0.05
100617,0.12
100618,0.12
100622,0.25
100625,0.16
100677,0.26
100699,0.1
100702,0.25
100711,0.08
100729,0.11
100740,0.14
100744,0.04
100745,0.05
100747,0.16
100751,0.44
100752,0.05
100753,0.31
100754,0.29
100760,0.04
100762,0.06
100763,0.04
100765,0.05
100770,0.15
100772,0.04
100777,0.11
100791,0.03
100792,0.01
100797,0.02
100823,0.03
100826,0.04
100830,0.06
100836,0.1
100872,0.1
100910,0.2
100913,0.36
100918,0.09
100931,0.01
100952,0.02
100953,0.04
100965,0.32
100970,0.01
100982,0.1
100983,0.38
100984,0.16
100987,0.12
100997,0.1
100998,0.15
101002,0.04
101005,0.16
101008,0.24
101020,0.12
101021,0.06
101024,0.08
101025,0.15
101026,0.05
101031,0.02
101041,0.02
101051,0.01
101055,0.11
101056,0.19
101057,0.04
101064,0.08
101079,0.13
101087,0.08
101090,0.15
101092,0.04
101097,0.09
101099,0.04
101107,0.06
101118,0.03
101125,0.13
101126,0.01
101128,0.01
101136,0.11
101140,0.14
101149,0.04
101160,0.02
101169,0.28
101181,0.07
101186,0.04
101190,0.1
101193,0.07
101194,0.27
101198,0.09
101200,0.08
101204,0.0
101211,0.01
101213,0.04
101223,0.06
101225,0.09
101237,0.18
101243,0.1
101244,0.11
101258,0.05
101259,0.16
101268,0.2
101269,0.07
101271,0.07
101279,0.03
101281,0.29
101287,0.13
101292,0.08
101294,0.13
101296,0.06
101297,0.01
101299,0.28
101301,0.01
101305,0.17
101308,0.29
101318,0.01
101327,0.19
101329,0.05
101332,0.05
101337,0.0
101343,0.07
101345,0.01
101346,0.0
101353,0.03
101354,0.3
101355,0.3
101356,0.01
101362,0.11
101363,0.25
101365,0.03
101366,0.02
101367,0.21
101368,0.02
101374,0.2
101380,0.01
101383,0.08
101398,0.03
101399,0.3
101401,0.03
101412,0.18
101426,0.0
101427,0.41
101428,0.12
101429,0.03
101434,0.03
101440,0.15
101448,0.02
101449,0.03
101465,0.12
101467,0.01
101472,0.01
101478,0.28
101497,0.06
101504,0.09
101547,0.01
101548,0.13
101555,0.2
101570,0.04
101572,0.04
101578,0.04
101580,0.17
101588,0.04
101602,0.1
101610,0.13
101614,0.08
101616,0.17
101643,0.06
101644,0.06
101649,0.1
101650,0.05
101665,0.05
101667,0.12
101669,0.29
101674,0.08
101675,0.01
101678,0.22
101682,0.14
101686,0.05
101697,0.15
101700,0.35
101711,0.04
101714,0.05
101715,0.31
101728,0.0
101732,0.03
101757,0.3
101758,0.06
101759,0.02
101762,0.01
101764,0.16
101780,0.26
101784,0.0
101789,0.0
101816,0.01
101819,0.14
101827,0.01
101863,0.05
101867,0.05
101870,0.02
101873,0.11
101878,0.06
101879,0.2
101880,0.05
101887,0.08
101897,0.02
101901,0.11
101903,0.34
101920,0.1
101921,0.02
101922,0.09
101961,0.09
101962,0.07
101971,0.14
101976,0.22
102002,0.13
102005,0.04
102007,0.28
102017,0.04
102019,0.21
102029,0.03
102051,0.23
102052,0.02
102054,0.09
102062,0.1
102067,0.09
102068,0.2
102070,0.01
102090,0.13
102092,0.02
102099,0.05
102100,0.1
102112,0.07
102113,0.02
102122,0.22
102123,0.1
102125,0.01
102126,0.3
102146,0.03
102147,0.09
102151,0.07
102158,0.13
102159,0.04
102162,0.07
102165,0.04
102166,0.0
102174,0.06
102193,0.18
102198,0.02
102205,0.15
102206,0.01
102218,0.01
102221,0.03
102230,0.04
102238,0.18
102248,0.04
102252,0.22
102259,0.09
102262,0.13
102273,0.1
102286,0.19
102293,0.02
102294,0.09
102296,0.27
102298,0.01
102303,0.01
102309,0.02
102315,0.1
102340,0.12
102342,0.22
102344,0.0
102346,0.11
102347,0.04
102374,0.08
102380,0.03
102387,0.02
102393,0.03
102403,0.02
102413,0.04
102414,0.01
102415,0.17
102416,0.13
102439,0.05
102441,0.05
102443,0.0
102444,0.21
102445,0.12
102448,0.08
102449,0.16
102450,0.17
102456,0.1
102458,0.14
102459,0.09
102465,0.22
102470,0.25
102471,0.03
102475,0.06
102476,0.12
102506,0.07
102509,0.08
102519,0.0
102522,0.09
102545,0.09
102549,0.1
102562,0.02
102563,0.01
102568,0.05
102582,0.01
102592,0.02
102597,0.15
102605,0.03
102614,0.01
102617,0.21
102634,0.09
102652,0.06
102655,0.06
102671,0.07
102694,0.1
102701,0.01
102703,0.0
102704,0.01
102713,0.07
102720,0.12
102731,0.03
102733,0.08
102749,0.0
102755,0.11
102763,0.08
102770,0.02
102772,0.11
102799,0.08
102838,0.01
102854,0.0
102862,0.15
102863,0.02
102867,0.02
102868,0.02
102878,0.01
102887,0.08
102898,0.18
102904,0.04
102912,0.07
102919,0.0
102927,0.2
102932,0.07
102933,0.02
102935,0.0
102958,0.0
102969,0.22
102971,0.01
102975,0.08
102979,0.05
102982,0.01
102987,0.31
102989,0.25
102995,0.07
102996,0.02
103000,0.04
103001,0.23
103004,0.06
103010,0.01
103025,0.17
103029,0.1
103046,0.0
103056,0.11
103062,0.07
103078,0.02
103083,0.04
103092,0.05
103096,0.02
103097,0.12
103102,0.14
103112,0.22
103132,0.03
103144,0.15
103145,0.15
103146,0.02
103147,0.07
103158,0.01
103171,0.07
103173,0.04
103184,0.01
103195,0.2
103196,0.1
103206,0.0
103230,0.25
103231,0.14
103232,0.01
103239,0.12
103240,0.14
103243,0.02
103252,0.14
103258,0.08
103259,0.06
103279,0.02
103280,0.0
103286,0.09
103287,0.41
103290,0.01
103298,0.06
103315,0.03
103319,0.01
103334,0.03
103336,0.07
103345,0.04
103368,0.01
103371,0.1
103377,0.05
103398,0.0
103404,0.06
103408,0.29
103410,0.03
103418,0.04
103420,0.34
103432,0.07
103433,0.0
103436,0.01
103440,0.07
103453,0.0
103459,0.1
103460,0.01
103461,0.02
103462,0.04
103473,0.37
103474,0.06
103475,0.21
103478,0.07
103480,0.1
103484,0.04
103494,0.17
103513,0.09
103515,0.05
103516,0.16
103525,0.07
103541,0.29
103544,0.04
103562,0.32
103570,0.31
103572,0.04
103574,0.04
103575,0.07
103591,0.15
103594,0.02
103609,0.07
103613,0.05
103614,0.15
103615,0.1
103624,0.15
103625,0.26
103628,0.13
103629,0.02
103647,0.09
103648,0.11
103651,0.06
103658,0.09
103668,0.11
103669,0.01
103676,0.07
103682,0.03
103683,0.24
103689,0.01
103725,0.28
103733,0.32
103744,0.07
103762,0.14
103771,0.23
103773,0.0
103783,0.03
103784,0.16
103808,0.03
103812,0.0
103813,0.16
103814,0.08
103818,0.13
103824,0.03
103828,0.0
103830,0.3
103840,0.03
103842,0.13
103847,0.11
103848,0.11
103851,0.07
103854,0.16
103857,0.08
