boosting_type,class_weight,colsample_bytree,importance_type,learning_rate,max_depth,min_child_samples,min_child_weight,min_split_gain,n_estimators,n_jobs,num_leaves,objective,random_state,reg_alpha,reg_lambda,subsample,subsample_for_bin,subsample_freq,nthread,verbosity,max_bin,is_unbalance,val_auc,best_num_boost_round
dart,,0.6666666666666666,split,0.0433701089691359,13,50,0.001,0.0,1000,,158,,42.0,2.857142857142857,6.73469387755102,0.9157894736842104,120000,0,4,-1,450,True,0.7924261916101454,1000
dart,,0.6111111111111112,split,0.126425025854876,11,195,0.001,0.0,1000,,106,,42.0,2.4489795918367347,9.183673469387756,0.8736842105263158,100000,0,4,-1,150,False,0.7836665264770164,1000
goss,,0.5,split,0.1757114189245674,9,135,0.001,0.0,1000,,190,,42.0,4.8979591836734695,5.1020408163265305,1.0,100000,0,4,-1,350,False,0.7777226144188238,40
goss,,0.9444444444444444,split,0.0229188106903307,3,125,0.001,0.0,1000,,253,,42.0,4.4897959183673475,6.122448979591837,1.0,180000,0,4,-1,400,False,0.7828163299642931,1000
goss,,0.6666666666666666,split,0.2651603931112993,12,30,0.001,0.0,1000,,87,,42.0,0.6122448979591837,6.938775510204081,1.0,60000,0,4,-1,300,True,0.7780830605551404,21
goss,,0.9444444444444444,split,0.0909632809309204,14,175,0.001,0.0,1000,,47,,42.0,5.918367346938775,9.79591836734694,1.0,120000,0,4,-1,100,False,0.7858556997482409,133
gbdt,,0.5555555555555556,split,0.0872961819662233,13,10,0.001,0.0,1000,,112,,42.0,7.142857142857143,4.285714285714286,0.7263157894736842,40000,0,4,-1,100,True,0.7852520773999868,125
goss,,0.7222222222222222,split,0.04906853749187,4,15,0.001,0.0,1000,,253,,42.0,1.4285714285714286,9.387755102040815,1.0,80000,0,4,-1,100,True,0.7890808514076038,729
goss,,0.6111111111111112,split,0.0771582997575976,11,150,0.001,0.0,1000,,210,,42.0,0.2040816326530612,4.4897959183673475,1.0,160000,0,4,-1,350,False,0.7909234660613129,91
dart,,0.8333333333333333,split,0.0305694866134644,4,25,0.001,0.0,1000,,151,,42.0,3.2653061224489797,2.857142857142857,0.894736842105263,60000,0,4,-1,300,True,0.785349801971205,1000
goss,,0.5555555555555556,split,0.089110869844202,9,30,0.001,0.0,1000,,136,,42.0,2.653061224489796,8.571428571428571,1.0,140000,0,4,-1,300,False,0.7848958168621952,93
goss,,0.6111111111111112,split,0.1050543766918435,7,110,0.001,0.0,1000,,95,,42.0,3.0612244897959187,0.2040816326530612,1.0,60000,0,4,-1,350,True,0.7849537210835486,107
gbdt,,0.7222222222222222,split,0.0224520832528121,3,150,0.001,0.0,1000,,106,,42.0,7.142857142857143,6.326530612244898,0.9789473684210526,40000,0,4,-1,150,True,0.7838344150567458,1000
goss,,0.9444444444444444,split,0.0090802451427217,13,160,0.001,0.0,1000,,156,,42.0,2.2448979591836737,6.326530612244898,1.0,160000,0,4,-1,300,False,0.7917345755800467,915
dart,,0.5555555555555556,split,0.0121113803018808,9,110,0.001,0.0,1000,,241,,42.0,3.4693877551020407,7.142857142857143,0.7263157894736842,120000,0,4,-1,350,True,0.7812116496657832,1000
gbdt,,0.5,split,0.1553056963872749,9,120,0.001,0.0,1000,,240,,42.0,3.0612244897959187,5.510204081632653,0.8736842105263158,100000,0,4,-1,300,False,0.7842289570026504,63
goss,,0.8333333333333333,split,0.0305694866134644,4,175,0.001,0.0,1000,,198,,42.0,5.1020408163265305,0.8163265306122449,1.0,100000,0,4,-1,100,False,0.7944348676770915,999
gbdt,,0.9444444444444444,split,0.0066690822282417,11,145,0.001,0.0,1000,,137,,42.0,3.673469387755102,2.0408163265306123,0.6421052631578947,140000,0,4,-1,150,False,0.7900377147033902,1000
dart,,0.5555555555555556,split,0.0238815738382896,13,100,0.001,0.0,1000,,185,,42.0,6.938775510204081,5.3061224489795915,0.6631578947368421,60000,0,4,-1,300,False,0.7912236687265005,1000
goss,,0.8333333333333333,split,0.0064002244618509,6,125,0.001,0.0,1000,,145,,42.0,3.877551020408163,0.6122448979591837,1.0,100000,0,4,-1,150,False,0.7894892029499758,1000
gbdt,,0.9444444444444444,split,0.0094616840191086,3,85,0.001,0.0,1000,,43,,42.0,3.0612244897959187,1.4285714285714286,0.6210526315789473,40000,0,4,-1,200,True,0.776407717149681,1000
dart,,1.0,split,0.1618297086133044,6,20,0.001,0.0,1000,,47,,42.0,5.3061224489795915,5.714285714285714,0.894736842105263,180000,0,4,-1,150,False,0.7837798177079877,1000
goss,,0.7777777777777778,split,0.0186568252259257,14,60,0.001,0.0,1000,,54,,42.0,8.979591836734695,6.530612244897959,1.0,60000,0,4,-1,300,False,0.7923208933793902,953
dart,,0.7777777777777778,split,0.2392387293492969,3,160,0.001,0.0,1000,,54,,42.0,0.2040816326530612,6.73469387755102,0.9578947368421052,180000,0,4,-1,150,True,0.7931701605603426,1000
goss,,0.7222222222222222,split,0.1344743183055292,11,85,0.001,0.0,1000,,189,,42.0,6.73469387755102,6.122448979591837,1.0,180000,0,4,-1,300,False,0.7843768227490511,43
dart,,0.6111111111111112,split,0.0416216838895667,10,75,0.001,0.0,1000,,98,,42.0,5.714285714285714,6.73469387755102,0.6842105263157895,60000,0,4,-1,350,True,0.7935772516466454,1000
dart,,0.6666666666666666,split,0.0161543582261501,4,40,0.001,0.0,1000,,37,,42.0,3.0612244897959187,10.0,0.6,20000,0,4,-1,300,True,0.7703707296213712,1000
gbdt,,0.8333333333333333,split,0.0102733048131856,4,45,0.001,0.0,1000,,251,,42.0,3.673469387755102,9.387755102040815,0.9157894736842104,60000,0,4,-1,300,False,0.7807427905040882,1000
gbdt,,0.5555555555555556,split,0.020678303736902,14,180,0.001,0.0,1000,,138,,42.0,10.0,7.551020408163265,0.8736842105263158,20000,0,4,-1,250,False,0.7901113945597177,537
goss,,0.9444444444444444,split,0.0416216838895667,3,90,0.001,0.0,1000,,31,,42.0,9.79591836734694,3.673469387755102,1.0,20000,0,4,-1,100,False,0.7876978997304978,999
goss,,0.9444444444444444,split,0.072539799157855,12,140,0.001,0.0,1000,,25,,42.0,2.0408163265306123,9.591836734693878,1.0,100000,0,4,-1,400,False,0.7877820397536709,294
dart,,0.7222222222222222,split,0.1290531128653796,6,95,0.001,0.0,1000,,165,,42.0,4.285714285714286,6.122448979591837,0.6842105263157895,80000,0,4,-1,150,True,0.7848009240128858,1000
gbdt,,0.6111111111111112,split,0.0521926579397572,6,135,0.001,0.0,1000,,60,,42.0,6.73469387755102,6.530612244897959,0.7684210526315789,180000,0,4,-1,450,False,0.7880892869281979,598
dart,,0.5,split,0.0872961819662233,4,120,0.001,0.0,1000,,49,,42.0,4.6938775510204085,4.4897959183673475,0.9157894736842104,100000,0,4,-1,400,False,0.7849919594635267,1000
goss,,0.5,split,0.0615308453091993,8,30,0.001,0.0,1000,,27,,42.0,4.4897959183673475,2.2448979591836737,1.0,120000,0,4,-1,150,False,0.7862619111927313,331
gbdt,,0.8888888888888888,split,0.0078622987051918,5,125,0.001,0.0,1000,,102,,42.0,8.571428571428571,7.551020408163265,0.9578947368421052,160000,0,4,-1,200,True,0.7897662043261819,1000
goss,,0.8333333333333333,split,0.0065332704838609,6,45,0.001,0.0,1000,,205,,42.0,9.387755102040815,1.020408163265306,1.0,40000,0,4,-1,100,True,0.791539632963743,1000
dart,,0.6666666666666666,split,0.044271674298114,3,15,0.001,0.0,1000,,155,,42.0,6.326530612244898,1.2244897959183674,0.9578947368421052,120000,0,4,-1,250,False,0.7795615555675017,1000
gbdt,,0.5,split,0.0198446774049443,12,135,0.001,0.0,1000,,238,,42.0,5.3061224489795915,5.714285714285714,0.6210526315789473,180000,0,4,-1,400,False,0.7929968920441441,537
gbdt,,0.8888888888888888,split,0.072539799157855,6,110,0.001,0.0,1000,,75,,42.0,2.857142857142857,5.918367346938775,0.9157894736842104,160000,0,4,-1,400,True,0.7867024627094984,318
gbdt,,0.9444444444444444,split,0.2492885628809821,5,150,0.001,0.0,1000,,150,,42.0,9.79591836734694,3.4693877551020407,0.7894736842105263,160000,0,4,-1,350,True,0.7858968564297827,120
gbdt,,0.8888888888888888,split,0.0281544087538159,6,50,0.001,0.0,1000,,170,,42.0,5.510204081632653,9.79591836734694,0.7894736842105263,180000,0,4,-1,300,True,0.7929560914207767,938
dart,,0.8333333333333333,split,0.2999999999999999,11,190,0.001,0.0,1000,,108,,42.0,0.6122448979591837,6.122448979591837,0.6421052631578947,140000,0,4,-1,350,True,0.7555049158932731,1000
dart,,0.5555555555555556,split,0.2492885628809821,13,135,0.001,0.0,1000,,176,,42.0,3.2653061224489797,4.285714285714286,0.7894736842105263,80000,0,4,-1,300,True,0.7596327230413266,1000
dart,,0.9444444444444444,split,0.0064002244618509,4,60,0.001,0.0,1000,,117,,42.0,1.4285714285714286,3.2653061224489797,0.894736842105263,140000,0,4,-1,300,True,0.7608149711159742,1000
gbdt,,0.7222222222222222,split,0.0065332704838609,13,175,0.001,0.0,1000,,227,,42.0,2.0408163265306123,6.326530612244898,1.0,40000,0,4,-1,200,True,0.7891311167130654,998
dart,,1.0,split,0.0615308453091993,6,150,0.001,0.0,1000,,106,,42.0,5.1020408163265305,4.081632653061225,0.6210526315789473,20000,0,4,-1,150,True,0.7870653795837258,1000
dart,,0.6111111111111112,split,0.2071492919442179,12,160,0.001,0.0,1000,,238,,42.0,4.8979591836734695,9.183673469387756,0.831578947368421,160000,0,4,-1,200,False,0.7611839709328817,1000
gbdt,,0.7777777777777778,split,0.0109273907769168,11,85,0.001,0.0,1000,,154,,42.0,8.775510204081632,7.142857142857143,0.9157894736842104,120000,0,4,-1,300,True,0.7935901885492241,940
dart,,0.6666666666666666,split,0.018276890492506,7,175,0.001,0.0,1000,,42,,42.0,9.79591836734694,4.4897959183673475,0.7263157894736842,80000,0,4,-1,200,False,0.7852890608786796,1000
gbdt,,1.0,split,0.0175400748728731,5,20,0.001,0.0,1000,,34,,42.0,6.530612244897959,4.4897959183673475,0.7473684210526316,120000,0,4,-1,350,False,0.7887735795200448,1000
gbdt,,0.8888888888888888,split,0.2442119551229187,12,165,0.001,0.0,1000,,154,,42.0,8.36734693877551,0.0,0.7052631578947368,160000,0,4,-1,200,True,0.7783215946538077,23
goss,,0.5555555555555556,split,0.1072382168050922,13,150,0.001,0.0,1000,,132,,42.0,7.959183673469388,3.4693877551020407,1.0,40000,0,4,-1,250,False,0.7819944310099599,75
